Depth,SolutionArtifactCount,ProofCertificateCount,NodeCount
0,1,0,1
1,7,0,7
2,13,12,25
3,49,12,61
4,87,95,182
5,274,90,364
6,477,534,1011
7,1350,520,1870
8,2117,2629,4746
9,5349,2524,7873
10,7616,10050,17666
11,18928,9245,28173
12,25741,34093,59834
13,61889,30369,92258
14,82460,105072,187532
15,191105,90730,281835
16,247668,293905,541573
17,535663,248031,783694
18,667698,721836,1389534
19,1345153,601283,1946436
20,1618273,1573007,3191280
21,3037766,1310651,4348417
22,3528785,3051976,6580761
23,6100604,2557002,8657606
24,6816505,5246286,12062791
25,10766849,4444052,15210901
26,11557178,7927823,19485001
27,16729937,6799724,23529661
28,17250960,10560070,27811030
29,22868076,9172217,32040293
30,22627524,12442361,35069885
31,27633942,10974975,38608917
32,26253679,13040374,39294053
33,29211163,11659117,40870280
34,26379767,11842333,38222100
35,26442273,10688538,37130811
36,22724558,9178727,31903285
37,19532791,8429219,27962010
38,15488457,5287756,20776213
39,10458832,4964166,15422998
40,7332236,1818241,9150477
41,2897044,1748096,4645140
42,1683726,441663,2125389
